"","mydata"
"1531",4221
"1532",3799
"1533",4423
"1534",4422
"1535",4347
"1536",3612
"1537",3919
"1538",4330
"1539",3926
"1540",4063
"1541",4417
"1542",3916
"1543",4702
"1544",4131
"1545",4339
"1546",4413
"1547",4634
"1548",3412
"1549",4727
"1550",4064
"1551",4160
"1552",4388
"1553",4085
"1554",4101
"1555",3889
"1556",4760
"1557",4067
"1558",4026
"1559",4493
"1560",4562
"1561",4016
"1562",4551
"1563",4268
"1564",4270
"1565",4075
"1566",3854
"1567",4245
"1568",4459
"1569",4029
"1570",4144
"1571",3780
"1572",4646
"1573",4733
"1574",4696
"1575",4733
"1576",4057
"1577",3697
"1578",3779
"1579",4147
"1580",4043
"1581",4472
"1582",4160
"1583",4327
"1584",4353
"1585",3892
"1586",3667
"1587",4033
"1588",4522
"1589",3909
"1590",4038
"1591",3665
"1592",4542
"1593",4160
"1594",4365
"1595",4691
"1596",4722
"1597",3999
"1598",4846
"1599",4120
"1600",3559
"1601",4427
"1602",4000
"1603",3695
"1604",4357
"1605",3733
"1606",4500
"1607",3718
"1608",3973
"1609",3911
"1610",3863
"1611",4077
"1612",4822
"1613",4102
"1614",3941
"1615",4689
"1616",4309
"1617",4365
"1618",3896
"1619",4197
"1620",4211
"1621",4210
"1622",4246
"1623",4007
"1624",4679
"1625",3841
"1626",4800
"1627",2370
"1628",3824
"1629",4825
"1630",4144
"1631",4031
"1632",4520
"1633",4612
"1634",3977
"1635",4531
"1636",4254
"1637",4114
"1638",4431
"1639",4290
"1640",4813
"1641",4243
"1642",4949
"1643",3606
"1644",4197
"1645",3854
"1646",4397
"1647",4281
"1648",4298
"1649",3983
"1650",4028
"1651",3969
"1652",4056
"1653",4148
"1654",4263
"1655",4075
"1656",4393
"1657",4567
"1658",4072
"1659",4381
"1660",3946
"1661",4118
"1662",4427
"1663",4666
"1664",4341
"1665",4715
"1666",4502
"1667",4923
"1668",4527
"1669",4228
"1670",4521
"1671",4040
"1672",4199
"1673",3889
"1674",4106
"1675",4240
"1676",4259
"1677",4699
"1678",3901
"1679",4199
"1680",4236
"1681",4264
"1682",4275
"1683",4371
"1684",4399
"1685",4590
"1686",4075
"1687",3486
"1688",4761
"1689",4973
"1690",4717
"1691",4332
"1692",4497
"1693",4778
"1694",4645
"1695",3924
"1696",4181
"1697",3881
"1698",4608
"1699",3916
"1700",4263
"1701",5060
"1702",4277
"1703",4620
"1704",4289
"1705",3676
"1706",4656
"1707",4567
"1708",4102
"1709",3885
"1710",4001
"1711",4100
"1712",4430
"1713",3848
"1714",4232
"1715",4860
"1716",4325
"1717",4230
"1718",4170
"1719",4779
"1720",4061
"1721",3958
"1722",4369
"1723",4146
"1724",4384
"1725",4238
"1726",4033
"1727",3971
"1728",4004
"1729",4661
"1730",4100
"1731",4179
"1732",4641
"1733",4468
"1734",4047
"1735",4268
"1736",4419
"1737",4186
"1738",4466
"1739",4559
"1740",4562
"1741",4523
"1742",4652
"1743",4264
"1744",4276
"1745",4509
"1746",4642
"1747",4777
"1748",4410
"1749",4185
"1750",4906
"1751",4480
"1752",4463
"1753",4229
"1754",3723
"1755",3725
"1756",4608
"1757",4707
"1758",4271
"1759",3899
"1760",4404
"1761",3819
"1762",1690
"1763",4236
"1764",4462
"1765",4175
"1766",4663
"1767",4470
"1768",4039
"1769",4713
"1770",4668
"1771",4303
"1772",3815
"1773",4216
"1774",4712
"1775",4668
"1776",4539
"1777",4406
"1778",3654
"1779",4689
"1780",4275
"1781",4414
"1782",4322
"1783",4689
"1784",4275
"1785",4463
"1786",4562
"1787",4123
"1788",4129
"1789",4575
"1790",4900
"1791",4482
"1792",3727
"1793",4425
"1794",4278
"1795",4894
"1796",4198
"1797",4227
"1798",4159
"1799",4241
"1800",4309
"1801",4061
"1802",4340
"1803",4652
"1804",4195
"1805",4441
"1806",4298
"1807",4567
"1808",4430
"1809",4531
"1810",4310
"1811",4192
"1812",4339
"1813",4274
"1814",4318
"1815",4287
"1816",4649
"1817",4309
"1818",4302
"1819",4486
"1820",4642
"1821",4362
"1822",4362
"1823",4732
"1824",4483
"1825",4417
"1826",3925
"1827",2620
"1828",4904
"1829",4635
"1830",4618
"1831",4433
"1832",4236
"1833",4671
"1834",4379
"1835",4116
"1836",3659
